Autor	Fechas	Obras principales	Verificación	Biblioteca CLM	Signatura	Notas
Ambrosio de Morales	1513-1591	Las antigüedades de las ciudades de España (1575, 1577); Crónica general de España (1574); Viaje a los reinos de León y Galicia (1572); Opúsculos castellanos	BNE; CCPB; VIAF	✅	FA	Humanista e historiador español
Amiano Marcellino	c. 325-400 d.C.	Rerum gestarum libri XXXI (solo libros 14-31 conservados)	BNE; CCPB; VIAF	❌	—	Historiador romano. OBRA PERDIDA parcial
Andrea de' Bardi	Siglos XIII-XIV	Sin obras verificadas	❌	❌	—	AUTOR DUDOSO
Antonio de Nebrija	1444-1522	Introductiones latinae (1481, 1482); Gramática castellana (1492); Dictionarium	BNE; CCPB; VIAF; GW	✅	INC/2887	INCUNABLE 1482
Apiano de Alejandría	c. 95-165 d.C.	Historia Romana (24 libros, solo 10 completos); Guerras Ibéricas; Guerras Mitridáticas	BNE; CCPB; VIAF	❌	—	Historiador romano
Aristóteles	384-322 a.C.	Política; Ética a Nicómaco; Retórica; Poética (perdida); Constitución de los atenienses	BNE; CCPB; VIAF; GW	✅	Inc.373(I); Res	Filósofo griego
Augusto	63 a.C.-14 d.C.	Res Gestae Divi Augusti (inscripción)	BNE; VIAF	❌	—	Emperador romano
Aulo Gelio	c. 130-180 d.C.	Noctes Atticae	BNE; CCPB; VIAF; GW	❌	—	Erudito romano
Beda el Venerable	c. 672-735 d.C.	Historia ecclesiastica gentis Anglorum; De temporum ratione; De natura rerum	BNE; CCPB; VIAF; GW	⚠️	Guadalajara	Monje anglosajón
Braulio de Zaragoza	c. 590-651 d.C.	Vita Sancti Aemiliani; Renotatio librorum Isidori	BNE; CCPB; VIAF	❌	—	Obispo de Zaragoza
Cayo Julio Solino	Siglo III d.C.	Polyhistor; De mirabilibus mundi	BNE; CCPB; VIAF; GW	❌	—	Gramático latino
Cayo Plinio Segundo	23-79 d.C.	Naturalis Historia (37 libros)	BNE; CCPB; VIAF; GW	❌	—	Naturalista romano
Casiodoro	c. 487-583 d.C.	Variae; Historiae Gothorum; Chronica; Institutio ordinis	BNE; CCPB; VIAF	⚠️	Ms.77	Manuscrito
Cicerón	106-43 a.C.	De inventione; Rhetorica ad Herennium (autoría dudosa); De Oratore; Brutus; Orator; Tusculanae quaestiones	BNE; CCPB; VIAF; GW	✅	FA	Orador romano. Rhetorica = autoría dudosa
Claudio Ptolomeo	c. 100-170 d.C.	Geographia; Almagestum	BNE; CCPB; VIAF; GW	✅	Inc.318	INCUNABLE 1486
Claudiano	c. 370-404 d.C.	De raptu Proserpinae; In Rufinum; De Bello Gildonico; Panegyrici	BNE; CCPB; VIAF	❌	—	Poeta latino tardío
Diodoro de Sicilia	Siglo I a.C.	Bibliotheca Historica (40 libros)	BNE; CCPB; VIAF; GW	❌	—	Historiador griego
Dion Casio	c. 155-235 d.C.	Historia Romana (80 libros - solo fragmentos)	BNE; CCPB; VIAF	❌	—	OBRA PERDIDA
Dionisio de Halicarnaso	c. 60 a.C.-7 d.C.	Antiquitates Romanae; De compositione verborum	BNE; CCPB; VIAF	❌	—	Historiador griego
El moro Rasis	887-955 d.C.	Chronica	⚠️	❌	—	Verificar identidad
Estrabón	c. 63 a.C.-23 d.C.	Geographica (17 libros)	BNE; CCPB; VIAF; GW	❌	—	Geógrafo griego
Eusebio de Cesarea	c. 260-340 d.C.	Historia ecclesiastica; Chronicon; De vita Constantini	BNE; CCPB; VIAF; GW	✅	FA	Primera historia del cristianismo
Festo Pompeyo	Siglo II d.C.	De verborum significatione (epítome)	BNE; CCPB; VIAF	✅	FA	Gramático romano
Filisto de Siracusa	435-356 a.C.	Historiae	BNE; CCPB; VIAF	❌	—	OBRA PERDIDA
Filón de Biblos	c. 64-141 d.C.	Chronica; De mensura orbis terrae (fragmentos)	BNE; CCPB; VIAF	❌	—	Solo fragmentos
Gregorio Giraldi	1479-1552	De deis gentium; De poetis nostrorum temporum	BNE; CCPB; VIAF	❌	—	Humanista italiano
Herodoto	c. 484-425 a.C.	Historiae (9 libros)	BNE; CCPB; VIAF; GW	❌	—	PADRE DE LA HISTORIA
Hipócrates	c. 460-370 a.C.	Corpus Hippocraticum	BNE; CCPB; VIAF; GW	❌	—	Médico griego
Julio Capitolino	Siglo III-IV d.C.	Historia Augusta (autoría dudosa)	BNE; CCPB; VIAF	❌	—	AUTORÍA DUDOSA
Lucio Flavio Arriano	c. 86-160 d.C.	Anábasis de Alejandro; Periplus Ponti Euxini; Cinegética; Ars Tactica	BNE; CCPB; VIAF	✅	FA	Discípulo de Epicteto
Lucano	39-65 d.C.	Pharsalia (Bellum Civile)	BNE; CCPB; VIAF	❌	—	Poeta épico romano
Marco Juniano Justino	Siglo II-III d.C.	Epitoma historiarum Philippicarum	BNE; CCPB; VIAF; GW	✅	FA	Epítome de Trogo Pompeyo
Miguel Sincelo	761-846 d.C.	Homilías; Tratados gramaticales	BNE; CCPB; VIAF	❌	—	Principalmente manuscrito
Pelayo de Oviedo	c. 1089-1153	Corpus pelagianum; Chronicon regum legionensium	BNE; CCPB; VIAF	❌	—	Obispo e historiador español
Plutarco	c. 46-119 d.C.	Vidas paralelas; Moralia	BNE; CCPB; VIAF; GW	❌	—	Historiador griego
Poggio Bracciolini	1380-1459	De varietate fortunae; Historiae Florentini populi	BNE; CCPB; VIAF	❌	—	Humanista italiano
Polibio	209-118 a.C.	Historiae (40 libros)	BNE; CCPB; VIAF; GW	❌	—	Historiador griego
Pomponio Mela	Siglo I d.C.	De situ orbis (Chorographia)	BNE; CCPB; VIAF; GW	❌	—	Geógrafo romano
Pietro Crinito	1474-1507	De poetis latiniss; De honesta disciplina	BNE; CCPB; VIAF	❌	—	Humanista italiano
Próspero Aquitanio	c. 390-455 d.C.	Chronicon; Epigrammata	BNE; CCPB; VIAF	❌	—	Escritor cristiano
Prudencio	348-c. 410 d.C.	Psychomachia; Peristephanon; Cathemerinon; Apoteosis; Hamartigenia	BNE; CCPB; VIAF	✅	FA	Poeta cristiano español
Quinto Fabio Píctor	Siglo III a.C.	Annales	BNE; CCPB; VIAF	❌	—	OBRA PERDIDA
Quintiliano	c. 35-100 d.C.	Institutio oratoria	BNE; CCPB; VIAF; GW	✅	FA	Retórico romano
San Agustín	354-430 d.C.	De civitate Dei; Confesiones; De trinitate	BNE; CCPB; VIAF; GW	❌	—	Padre de la Iglesia
San Ildefonso de Toledo	c. 607-667 d.C.	De virginitate Sanctae Mariae	BNE; CCPB; VIAF	❌	—	Obispo de Toledo
San Isidoro de Sevilla	c. 560-636 d.C.	Etymologiae; Historia Gothorum; Chronica	BNE; CCPB; VIAF; GW	✅	FA	Enciclopedista medieval
San Jerónimo	c. 347-420 d.C.	Vulgata; Chronicon; Vita Pauli	BNE; CCPB; VIAF; GW	❌	—	Traductor de la Biblia
San Lucas	Siglo I d.C.	Evangelios; Hechos de los Apóstoles	—	❌	—	AUTOR BÍBLICO
Séneca el Joven	4 a.C.-65 d.C.	De clementia; De beneficiis; De brevitate vitae; Cartas a Lucilio	BNE; CCPB; VIAF; GW	✅	FA	Filósofo estoico
Séneca el Viejo	c. 54 a.C.-39 d.C.	Controversiae; Suasoriae	BNE; CCPB; VIAF	❌	—	Rhetor latino
Sexto Rufo	Siglo IV d.C.	Breviarium rerum gestarum populi Romani	BNE; CCPB; VIAF	✅	FA	Compendio de historia romana
Sigiberto de Gembloux	c. 1030-1112 d.C.	Chronicon	BNE; CCPB; VIAF	❌	—	Monje y cronista
Silio Itálico	25-91 d.C.	Punica	BNE; CCPB; VIAF	❌	—	Poeta épico
Suetonio Tranquilo	c. 69-122 d.C.	De vita Caesarum	BNE; CCPB; VIAF; GW	❌	—	Biógrafo romano
Sulpicio Severo	c. 363-420 d.C.	Chronica; Vita Sancti Martini	BNE; CCPB; VIAF	❌	—	Escritor cristiano
Tácito	c. 56-117 d.C.	Annales; Historiae; Agricola; Germania	BNE; CCPB; VIAF; GW	❌	—	Historiador romano
Tertuliano	c. 160-220 d.C.	Apologeticum; Adversus Marcionem; De praescriptione haereticorum	BNE; CCPB; VIAF	❌	—	Padre de la Iglesia
Tito Livio	59 a.C.-17 d.C.	Ab urbe condita (142 libros - solo 35 conservados)	BNE; CCPB; VIAF; GW	❌	—	Historiador romano
Tito Flavio Josefo	37-100 d.C.	De bello iudaico; Antiquitates Iudaicae; Contra Apionem	BNE; CCPB; VIAF; GW	❌	—	Historiador judío
Trebellio Polión	Siglo III d.C.	Historia Augusta (autoría dudosa)	BNE; CCPB; VIAF	❌	—	AUTORÍA DUDOSA
Annio de Viterbo	1432-1502	Antiquaria (FALSIFICACIÓN)	BNE; CCPB; VIAF	❌	—	FALSIFICACIÓN
Hernando del Pulgar	c. 1430-1490	Crónica de los Reyes Católicos; Claros varones	BNE; CCPB; VIAF	❌	—	Crónista español
Joan Margarit	1421-1485	De rebus Hispaniae	BNE; CCPB; VIAF	❌	—	Obispo y humanista
Lucio Anneo Floro	Siglo I-II d.C.	Epitoma	BNE; CCPB; VIAF	❌	—	Historiador romano
Paulo Orosio	c. 385-420 d.C.	Historiarum adversus paganos	BNE; CCPB; VIAF	✅	FA	Historiador cristiano
Valerio Máximo	Siglo I d.C.	Facta et dicta memorabilia	BNE; CCPB; VIAF; GW	✅	Inc.22; Inc.23	INCUNABLE 1495
